train_acc,train_loss,val_acc,val_loss
0.03766315789473684,4.2937455,0.07080000000000002,3.984898
0.0761684210526316,3.9538996,0.09360000000000002,3.831289
0.10953684210526315,3.752906,0.1076,3.766723
0.15016842105263156,3.522846,0.18600000000000003,3.2846298
0.1922105263157895,3.30704,0.174,3.28959
0.22469473684210525,3.1351557,0.2336,3.0270538
0.2647368421052632,2.9200447,0.29960000000000003,2.728075
0.29964210526315793,2.7262254,0.2508,2.955149
0.3283157894736842,2.575146,0.3488,2.4836767
0.3583789473684211,2.430219,0.3712,2.3599083
0.37696842105263156,2.3412824,0.3184,2.7481081
0.40111578947368415,2.2371619,0.41679999999999995,2.162881
0.4157894736842106,2.1512375,0.37839999999999996,2.413241
0.4296,2.0954769,0.39720000000000005,2.3116138
0.4498736842105263,2.0158045,0.4448,2.0231571
0.45688421052631584,1.9746478,0.39640000000000003,2.3740587
0.47012631578947367,1.9263996,0.4575999999999999,1.9856485
0.4844,1.8627644,0.46,1.9503531
0.48821052631578954,1.8348888,0.3608,2.7002184
0.5018315789473684,1.788879,0.4988,1.8511118
0.510378947368421,1.7508755,0.4592,2.0549312
0.5179368421052631,1.7297826,0.4524,2.0753934
0.530821052631579,1.6710496,0.5212,1.7704101
0.5329473684210526,1.6610303,0.40399999999999997,2.4214048
0.5372,1.6303233,0.5012000000000001,1.7983539
0.5500842105263157,1.5856651,0.5044000000000001,1.8531064
0.5519789473684211,1.5809504,0.446,2.1332686
0.5610105263157895,1.5449424,0.5308,1.7280192
0.5667157894736841,1.5194601,0.48119999999999996,1.9415265
0.5660000000000001,1.5158818,0.48800000000000004,1.9233955
0.5763368421052631,1.4706886,0.5428,1.6793393
0.5820210526315789,1.461815,0.4656,2.0594184
0.5857894736842105,1.4446223,0.5419999999999999,1.6589065
0.5968210526315789,1.4027011,0.5391999999999999,1.7287334
0.5943789473684211,1.4147987,0.4788,2.0872614
0.6015789473684211,1.3838166,0.544,1.6256232
0.6062105263157894,1.3618912,0.5264,1.7707226
0.6059368421052631,1.3683147,0.5256,1.8005853
0.6144000000000001,1.3297913,0.5648,1.5928394
0.6155578947368421,1.3246107,0.46080000000000004,2.211829
0.6162736842105263,1.3198769,0.5592,1.6264839
0.6239789473684211,1.2823168,0.5544,1.6568964
0.6234947368421052,1.2942668,0.5044000000000001,1.9657772
0.6323368421052632,1.2613705,0.5748000000000001,1.5554605
0.635578947368421,1.2469767,0.5332,1.7439731
0.6320631578947368,1.2529628,0.5436,1.7472476
0.641157894736842,1.2228315,0.5751999999999999,1.55263
0.6421684210526315,1.2133127,0.49520000000000003,2.0640538
0.6434105263157894,1.2163396,0.5783999999999999,1.6012046
0.6491368421052632,1.1874512,0.5656,1.6103172
0.6477684210526315,1.1973944,0.53,1.7998185
0.6575789473684212,1.1681135,0.5711999999999999,1.5705577
0.6568421052631579,1.1562713,0.5459999999999999,1.7387592
0.6562736842105263,1.1629207,0.5492,1.7516476
0.663178947368421,1.1387464,0.5924,1.540125
0.6625263157894736,1.1382558,0.5248,1.8602906
0.666357894736842,1.1302115,0.5823999999999999,1.5949899
0.6732631578947369,1.1016648,0.5892000000000001,1.6282767
0.6682736842105265,1.1128621,0.5376,1.8195808
0.674778947368421,1.0919682,0.5904,1.5384789
0.6774315789473684,1.0791432,0.5388000000000001,1.7714334
0.6738526315789474,1.0949944,0.5492,1.8363283
0.6804631578947369,1.0701911,0.6,1.5226262
0.682821052631579,1.0616229,0.5492,1.7726065
0.6810526315789474,1.0618246,0.5823999999999999,1.5979347
0.6897263157894737,1.0404534,0.5811999999999999,1.6143886
0.6843789473684211,1.0486531,0.5388,1.8400213
0.6899157894736843,1.035318,0.5808000000000001,1.5988044
0.6920210526315789,1.0196598,0.5716,1.6784577
0.6896421052631578,1.0317181,0.5660000000000001,1.719314
0.6971578947368421,1.0022929,0.5948,1.5608717
0.694778947368421,1.0087214,0.5364,1.8107178
0.6976421052631578,0.9987675,0.5904,1.5676107
0.7019157894736843,0.9882092,0.5944,1.5896264
0.6983789473684211,0.99298096,0.5216000000000001,2.0371563
0.704821052631579,0.9752077,0.5916,1.584597
0.7081052631578947,0.96318835,0.5476,1.8749077
0.7025684210526315,0.97943646,0.5640000000000001,1.7310631
0.7110736842105263,0.9525239,0.6,1.5818334
0.7126105263157895,0.9545256,0.5328,1.9234784
0.7090315789473683,0.9591997,0.5900000000000001,1.636632
0.7161684210526316,0.9353779,0.5812,1.6387111
0.710357894736842,0.9476625,0.49439999999999995,2.302608
0.7157052631578947,0.9333131,0.5888,1.5720639
0.7204631578947368,0.9156967,0.5644,1.8262106
0.7152,0.932061,0.5628,1.7087197
0.7225684210526316,0.90579325,0.5980000000000001,1.5970618
0.7214526315789472,0.90569276,0.5328,1.8868524
0.7254526315789475,0.9040415,0.5943999999999999,1.6719953
0.7273052631578947,0.8892794,0.5920000000000001,1.6559528
0.7211157894736842,0.9035108,0.5428,1.885893
0.7283157894736841,0.8818228,0.5972,1.6136217
0.7311578947368421,0.87926495,0.5648,1.7538829
0.7290105263157896,0.8836215,0.5872,1.6847571
0.7335157894736842,0.8710195,0.6088,1.60429
0.7339789473684211,0.86691374,0.538,2.0660229
0.7316842105263158,0.8737861,0.5968,1.6560204
0.7373684210526316,0.8507543,0.584,1.6331015
0.7375789473684211,0.8571795,0.5519999999999999,1.9196347
0.7372842105263158,0.8485633,0.5820000000000001,1.6657954
